,N°ordre,PPN,TITRE,RESUME,INDEX_UNI_AFE,INDEX_AFE,INDEX_UNI_MCR,INDEX_MCR,INDEX_UNI_JMF,INDEX_JMF,INDEX_UNI_LPL,INDEX_LPL,INDEX_UNI_LJZ,INDEX_LJZ,INDEX_UNI_MPD,INDEX_MPD,embedding_chains,embeddings_autorites
18,92,147294509,Ethologie animale et humaine : communication et comportement,"L'éthologie, science du comportement animal et humain, s'est d'abord développée à partir de l'observation des animaux dans leur milieu naturel. Ainsi, l'éthologie a ouvert de nouvelles perspectives de compréhension des comportements tels que ceux d'attachement ou d'agression, de territoire, d'espace vital, de dominance-hiérarchie et apporté de nouveaux éléments aux rapports entre nature et culture, aux apprentissages et conditionnements, aux interactions sociales (rapports familiaux, relations dans le monde du travail et de la vie politique...). Il en est de même des manifestations motrices (mimique, gestique, proxémie), sonores (cris, vocalisations, chants, bruitages), visuelles (modifications cutanées et du système pileux, vêtements, insignes), sécrétoires (larmes, sueur et toutes modifications glandulaires) qui ont permis de mieux comprendre les différents registres de la communication et des comportements sociaux. Dérivée de l'éthologie animale, l'éthologie humaine s'intéresse aux comportements de l'Homme. L'étude des communications non verbales y occupe une place de choix comme au cours d'entretiens et de questionnaires, de la circulation des personnes à l'intérieur de l'entreprise, sans oublier le langage verbal lui-même ou les comportements mettant en présence l'Homme avec la machine (informatique notamment). En éthologie, il ne s'agit pas de comparer simplement l'Homme à l'Animal mais de transposer les méthodes d'approche et d'investigation. Ce livre, enrichi de nombreux dessins originaux, s'adresse aux étudiants et chercheurs en éthologie, sciences humaines et communication ainsi qu'au grand public s'intéressant au comportement et à la communication, en raison de l'importance de certaines applications pratiques (comportement de l'enfant, interactions avec la machine, entretiens, marketing et questionnaires, thérapies par l'animal etc). [4e de couverture]",606$3028716949$aÉthologie comparée,Éthologie comparée,"606 $3028722191$aÉthologie
606 $3027243753$aComportement animal
606 $3027286347$aComportement humain",Éthologie;;Comportement animal;;Comportement humain,"606$3028038886$aÉthologie humaine
606$3027813037$aÉthologie comparée
606$3034430520$aComportement humain$xModèles animaux",Éthologie humaine;;Éthologie comparée;;Comportement humain -- Modèles animaux,"606$3‎$3028038886$aÉthologie humaine
606$3027321657$aCommunication",Éthologie humaine;;Communication,"606$3028716949$aÉthologie comparée
606$3050557017$aComportement social des animaux
606$3027821730$aSciences du comportement",Éthologie comparée;;Comportement social des animaux;;Sciences du comportement,"606$3028716949$aÉthologie comparée
606$3‎$3028038886$aÉthologie humaine
606$3027243753$aComportement animal",Éthologie comparée;;Éthologie humaine;;Comportement animal,"['Comportement social des animaux', 'Éthologie', 'Douleur -- Chez les animaux', ""Éthologie -- Manuels d'enseignement supérieur"", ""Comportement animal -- Manuels d'enseignement supérieur"", 'Communication animale']","['Comportement social des animaux', 'Éthologie', 'Douleur', 'Chez les animaux', 'Éthologie', ""Manuels d'enseignement supérieur"", 'Comportement animal', ""Manuels d'enseignement supérieur"", 'Communication animale']"
19,62,157175065,"Les paradoxes de l'empathie : philosophie, psychanalyse, sciences sociales","La 4e de couv. indique : ""Pourquoi, après des décennies de critique, de discrédit, voire d’ignorance, l’empathie connaît-elle aujourd’hui un regain d’intérêt théorique en philosophie, en psychanalyse et en sciences sociales ? C’est à cette question que cet ouvrage collectif souhaite répondre en interrogeant les recherches contemporaines sur l’empathie à partir de ses paradoxes théoriques, cliniques et moraux : une compréhension d’autrui à la fois affective et cognitive, identificatoire et sélective, automatique et inégalement distribuée. En examinant les perspectives récemment ouvertes qui montrent l’empathie sous un jour nouveau, en prenant en compte la complexité de son histoire et de ses modèles, la diversité de ses pratiques et de ses usages, les auteurs proposent des analyses originales qui la remettent au cœur d’une dialectique de l’affectivité et de la représentation, de l’intersubjectivité et des rapports sociaux, de l’expérience individuelle et de l’expérience sociale. Cet ouvrage s’appuie sur des rencontres et des programmes de recherche pluridisciplinaires qui renouvellent l’approche de l’empathie, en examinent les mécanismes, les usages et la portée dans les sciences sociales, la philosophie morale et sociale, et la psychanalyse. Il constituera un instrument irremplaçable de découverte, d’approfondissement et de critique d’une notion qui a enfin trouvé toute sa place dans la pensée contemporaine.""","606$3027843084$aEmpathie$x027295206$xPhilosophie
606$3027843084$aEmpathie$3027346900$xPsychologie",Empathie -- Philosophie;;Empathie -- Psychologie,"606 $3027843084$aEmpathie$3027284611$xValeurs (philosophie)
606 $3027843084$aEmpathie$3056563906$xaNeurosciences
606 $3027843084$aEmpathie$3027248321$aSciences sociales",Empathie -- Valeurs (philosophie);;Empathie -- Neurosciences;;Empathie -- Sciences sociales,"606$3027843084$aEmpathie$3027295206$xPhilosophie
606$3090945263$aIntelligence émotionnelle$3027241505$xPsychanalyse
606$3027843084$aEmpathie$3052488330$xSciences sociales",Empathie -- Philosophie;;Intelligence émotionnelle -- Psychanalyse;;Empathie -- Sciences sociales,"606$3027843084$aEmpathie$3027295206$xPhilosophie
606$3027843084$aEmpathie$3027346900$xPsychologie
606$3027410587$aRelations humaines",Empathie -- Philosophie;;Empathie -- Psychologie;;Relations humaines,"606$3027410587$aRelations humaines
606$3027843084$aEmpathie
606$3090945263$aIntelligence émotionnelle",Relations humaines;;Empathie;;Intelligence émotionnelle,"606$3027843084$aEmpathie$3027295206$xPhilosophie
606$3027843084$aEmpathie$3027346900$xPsychologie
606 $3027843084$aEmpathie$3027248321$aSciences sociales",Empathie -- Philosophie;;Empathie -- Psychologie;;Empathie -- Sciences sociales,"['Inconscient', 'Psychanalyse et neurosciences', 'Conscience', 'Cognition', 'Psychanalyse et religion', 'Psychologie cognitive']","['Inconscient', 'Psychanalyse et neurosciences', 'Conscience', 'Cognition', 'Psychanalyse et religion', 'Psychologie cognitive']"
20,5,159761875,"Les sociétés coloniales à l'âge des empires : Afrique, Antilles, Asie, années 1850 - années 1950 : manuel et dissertations corrigées, + textes commentés","L'ouvrage propose une synthèse sur les enjeux, les repères et les pistes de réflexion de ce sujet. Cette question de concours permet d’entrer dans une problématique historiographique : les métropoles au prisme de leur possessions ultramarines et leur interrelations, étudiées par le biais du colonial et de l’impérial. A la fin de chaque chapitre, des références bibliographiques permettent d’aller plus loin","606$3237637278$aColonialisme et ethnologie$3077318714$z1800-….
606$3027493458$aColonies$3077318714$z1800-….
",Colonialisme et ethnologie -- 1800-….;;Colonies -- 1800-….,"606 $3027234312$aImpérialisme$3077318714sz1800-....
606 $3027588823$aColonisation$3050549820$xHistoire sociale$3077318714sz1800-....",Impérialisme -- 1800-....;;Colonisation -- Histoire sociale -- 1800-....,"606$3027588823$aColonisation$3027790088$xAspect social
606$3027234312$aImpérialisme$3027794059$z19e siècle
606$3027234312$aImpérialisme$3027794687$z1900-1945",Colonisation -- Aspect social;;Impérialisme -- 19e siècle;;Impérialisme -- 1900-1945,"606$3027588823$aColonisation$3077318714$z1800-…
606 $3027234312$aImpérialisme$3077318714$z1800-…",Colonisation -- 1800-…;;Impérialisme -- 1800-…,"606$3237637278$aColonialisme et ethnologie$3077318714$z1800-….
606$3174131933$aColonies européennes$3027794059$z19e siècle
606$3027797120$aAgglomérations urbaines $3027493458$xColonies$3027794059$z19e siècle
606$3234777397$aColonialisme et archéologie",Colonialisme et ethnologie -- 1800-….;;Colonies européennes -- 19e siècle;;Agglomérations urbaines -- Colonies -- 19e siècle;;Colonialisme et archéologie,"$3027588823$aColonisation$3269230165$xSociété$3027218546$yAfrique$3077318714$z1800-…
$3027588823$aColonisation$3269230165$xSociété$3027801101$yAsie$3077318714$z1800-…
$3027588823$aColonisation$3269230165$xSociété$3027375412$yAntielles$3077318714$z1800-...",Colonisation -- Société -- Afrique -- 1800-…;;Colonisation -- Société -- Asie -- 1800-…;;Colonisation -- Société -- Antilles -- 1800-...,"['Colonialisme (idée politique)', ""Colonisation -- Manuels d'enseignement supérieur"", 'Colonies', 'Colonies européennes -- Administration', 'Colonies -- Histoire', 'Impérialisme']","['Colonialisme (idée politique)', 'Colonisation', ""Manuels d'enseignement supérieur"", 'Colonies', 'Colonies européennes', 'Administration', 'Colonies', 'Histoire', 'Impérialisme']"
21,34,162374631,L'articulation du sanitaire et du social,"La maîtrise des problèmes (la souffrance mentale comme la misère sociale) par un seul type de professionnels est illusoire. Il est essentiel que les dispositifs psychiatriques, sociaux, médico-sociaux avancent vers des modes de coopération qui tiennent compte, par-delà leurs logiques propres, de la réalité complexe et instable des besoins des personnes. II ne suffit pas de dénoncer le corporatisme des professionnels quand sont en cause la juxtaposition des législations et des règlementations, ainsi que le cloisonnement des modes d'organisation. La loi du 21 juillet 2009, dite loi HPST a déplacé les lignes de partage : désormais le secteur médico-social se détache du secteur social proprement dit et s'intègre dans le perimètre de la santé. Pour autant, la nécessité dépasser les logiques de cloisonnement pour donner un sens concret aux termes de partenariat, d'ouverture et de travail en réseau demeure. Cette nouvelle édition augmentée, qui tent cornpte des évolutions législatives, permet de se rendre compte chernin parcouru, mais aussi des obstacles qu'il reste encore à franchir.","606$3167674994$aÉtablissements médico-sociaux$3027226794$yFrance
606$3027389774$aMédecine sociale$3027226794$yFrance
",Établissements médico-sociaux -- France;;Médecine sociale -- France,"606$3027248135$aSanté publique$3027274292$xPolitique sociale
606$3027241661aPsychologie sociale$3027782115$xPolitique de santé mentale",Santé publique -- Politique sociale;;Psychologie sociale -- Politique de santé mentale,"606$3027836479$aService social médical$3027466868$xDroit
606$3167674994$aÉtablissements médico-sociaux$3028625757$xAdministration$3027226794$yFrance
606$3027243192$aPolitique sanitaire$3027790088$xAspect social",Service social médical -- Droit;;Établissements médico-sociaux -- Administration -- France;;Politique sanitaire -- Aspect social,"606$3027737446$aServices de santé$3027226794$yFrance‎$3050665391$z2000-….
606$3027274292$aPolitique sociale$3027226794$yFrance‎$3050665391$z2000-….
606$3167674994$aÉtablissements médico-sociaux$3027226794$yFrance‎$3050665391$z2000-….",Services de santé -- France -- 2000-….;;Politique sociale -- France -- 2000-….;;Établissements médico-sociaux -- France -- 2000-….,"606$3167674994$aÉtablissements médico-sociaux$3027226794$yFrance$3050665391$z2000-….
606$3 $aCentres médico-psycho-pédagogiques$3027226794$yFrance$3050665391$z2000-….
606$3027243192$aPolitique sanitaire$3027226794$yFrance$3050665391$z2000-….",Établissements médico-sociaux -- France -- 2000-….;;Centres médico-psychopédagogiques -- France -- 2000-….;;Politique sanitaire -- France -- 2000-….,"606‎$3027782115$aPolitique de santé mentale‎$3027226794$yFrance
606‎$3027334546$aService social psychiatrique‎$3027226794$yFrance‎",Politique de santé mentale -- France;;Service social psychiatrique -- France,"['Médecine sociale', 'Établissements médico-sociaux', 'Établissements médico-sociaux -- Administration', ""Services sociaux d'intérêt général"", 'Établissements médico-sociaux -- Gestion', 'Aide sociale']","['Médecine sociale', 'Établissements médico-sociaux', 'Établissements médico-sociaux', 'Administration', ""Services sociaux d'intérêt général"", 'Établissements médico-sociaux', 'Gestion', 'Aide sociale']"
22,87,163093741,Le cri d'Archimède : l'art de la Découverte et la découverte de l'Art,"Y a-t-il un lien entre la création littéraire et la découverte scientifique ? Entre ces dernières et l'inspiration comique ? Pour Arthur Koestler, ce lien se trouve dans ce qu'il nomme ""l'acte bisociatif"", autrement dit le bond novateur qui, en reliant soudain des systèmes de référence jusqu'alors séparés, nous fait vivre ou comprendre le réel sur plusieurs plans à la fois. Contribution fondamentale à la psychologie moderne, cette histoire des découvertes scientifiques se double d'un essai remarquable sur la création littéraire et artistique.","606$3027391779$aDécouvertes scientifiques
606$3030969395$aCréation littéraire
606$3031483372$aSciences et arts",Découvertes scientifiques;;Création littéraire;;Sciences et arts,"606 $3027391779$aDécouvertes scientifiques
606 $3027248283$aPhilosophie des sciences",Découvertes scientifiques;;Philosophie des sciences,"606$3027391779$aDécouvertes scientifiques$3027257606$xÉpistémologie 
606$302753037X$aCréativité en sciences 
606$3030969395$aCréation littéraire$3031271650$xSciences$xAspect cognitif",Découvertes scientifiques -- Épistémologie ;;Créativité en sciences ;;Création littéraire -- Sciences -- Aspect cognitif,"606‎$3027391779$aDécouvertes scientifiques
606$3027454428$aArt et Sciences",Découvertes scientifiques;;Art et Sciences,"606$3027391779$aDécouvertes scientifiques
66 $302753037X$aCréativité en sciences
66 $3030969395$aCréation littéraire",Découvertes scientifiques ;;Créativité en sciences;;Création littéraire,"606$3027391779$aDécouvertes scientifiques
606$3030969395$aCréation littéraire
606$3031483372$aSciences et arts",Découvertes scientifiques;;Création littéraire;;Sciences et arts,"['Créativité en sciences', 'Création (esthétique)', 'Art et sciences', 'Art moderne', 'Sciences et arts', 'Philosophie et art']","['Créativité en sciences', 'Création (esthétique)', 'Art et sciences', 'Art moderne', 'Sciences et arts', 'Philosophie et art']"
23,66,166049921,Dix façons d'assassiner notre planète,"Anthologie qui regroupe 10 nouvelles d'auteurs classiques de science-fiction, de Dick à Bordage autour d'un thème écologiste catastrophiste. Ces récits d'anticipation abordent les problèmes de climat, de pollution, de biodiversité et de nucléaire, en mettant l'accent sur leurs conséquences les plus redoutables et sur l'aspect primordial des actes du présent.","606$3028671139$aCatastrophes écologiques
606$3027311198$aÉcologie humaine",Catastrophes écologiques;;Écologie humaine,606 $3147416396$aNouvelles de science-fiction$3028671139$xCatastrophes écologiques,Nouvelle de science-fiction -- Catastrophes écologiques,"606$3237287919$aCollapsologie 
606$3028671139$aCatastrophes écologiques",Collapsologie ;;Catastrophes écologiques,606$3028671139$aCatastrophes écologiques,Catastrophes écologiques,"606$3261101420$aÉco-anxiété
606$3027311198$aÉcologie humaine",Éco-anxiété;;Écologie humaine,"606$3028671139$aCatastrophes écologiques
606‎$317880388X$aScience-fiction post-apocalyptique‎",Catastrophes écologiques;;Science-fiction post-apocalyptique,"['Catastrophes écologiques', 'Pollution', 'Écologie', ""Changement global de l'environnement"", 'Environnement', 'Humanité -- Prévision']","['Catastrophes écologiques', 'Pollution', 'Écologie', ""Changement global de l'environnement"", 'Environnement', 'Humanité', 'Prévision']"
24,82,166278351,Urbanité et tourisme,"L'urbanisation et la diffusion du tourisme constituent depuis le XIXe siècle deux processus majeurs de développement des sociétés occidentales, puis mondiales. Ces processus entretiennent des relations à la fois d'interdépendance et de tension. Sortant des questions classiques du « tourisme urbain », ce numéro interroge les manifestations de l'urbain et de l'urbanité (centralité, accessibilité, diversité, accumulation de capital urbain, etc.). La question des relations avec les processus de développement touristique dans les métropoles, les villes moyennes et les stations touristiques est ainsi posée.","606$303418001X$aTourisme urbain
606$3176018913$aTourisme et urbanisme",Tourisme urbain;;Tourisme et urbanisme,606 $3176018913$aTourisme et urbanisme,Tourisme et urbanisme,"606$303418001X$aTourisme urbain 
606$3176018913$aTourisme et urbanisme ",Tourisme urbain ;;Tourisme et urbanisme,"606$3‎$303418001X$aTourisme urbain$302726470X$xHistoire
606$3176018913$aTourisme et urbanisme$302726470X$xHistoire",Tourisme urbain -- Histoire;;Tourisme et urbanisme -- Histoire,"606$3176018913$aTourisme et urbanisme
606$303418001X$aTourisme urbain
606$3027257479$aAménagement du territoire",Tourisme et urbanisme;;Tourisme urbain;;Aménagement du territoire,606 $3176018913$aTourisme et urbanisme,Tourisme et urbanisme,"['Politique touristique', 'Tourisme -- Aspect social', 'Tourisme -- Marketing', 'Tourisme -- Innovation', 'Tourisme', 'Tourisme et urbanisme']","['Politique touristique', 'Tourisme', 'Aspect social', 'Tourisme', 'Marketing', 'Tourisme', 'Innovation', 'Tourisme', 'Tourisme et urbanisme']"
25,22,176553460,L'hygiène alimentaire,"Cet ouvrage propose un tour d'horizon de l'hygiène alimentaire. Des fiches synthétiques richement illustrées renseignent aussi bien sur les bases du fonctionnement de notre corps (digestion, aliments, nutrition, santé) que sur les aspects technologiques de l'alimentation. Elles donnent les clés d'une alimentation équilibrée. Les mises à jour indispensables sont apportées sur des sujets d'actualité : l'obésité chez les enfants, le 'bio', les OGM... [Source : 4e de couv.]","606$3027307476$aDiététique
606$3027688941$aÉducation nutritionnelle ",Diététique;;Éducation nutritionnelle,606 $3027797066$aSanté et hygiène$3027218805$xAlimentation,Santé et hygiène -- Alimentation,"606$3027307476$aDiététique
606$3027650642$aAliments$3029487706$xManipulation",Diététique;;Aliments -- Manipulation,"606$3027307476$aDiététique
606$3027688941$aÉducation nutritionnelle
606$3030857406$aNutrition",Diététique;;Éducation nutritionnelle;;Nutrition,"606$3027307476$aDiététique
606$3027688941$aÉducation nutritionnelle 
606$3027453596$aPhysiologie$3027218805$xAlimentation",Diététique;;Éducation nutritionnelle;;Physiologie -- Alimentation,"606‎$3191212334$aAlimentation et nutrition
606‎$3027307476$aDiététique‎
",Alimentation et nutrition;;Diététique,"[""Diététique -- Manuels d'enseignement supérieur"", ""Besoins alimentaires -- Manuels d'enseignement supérieur"", 'Besoins alimentaires', 'Nutrition', 'Microbiologie alimentaire', 'Bio-industries -- Salubrité']","['Diététique', ""Manuels d'enseignement supérieur"", 'Besoins alimentaires', ""Manuels d'enseignement supérieur"", 'Besoins alimentaires', 'Nutrition', 'Microbiologie alimentaire', 'Bio-industries', 'Salubrité']"
26,68,181543656,Israël entre quatre murs : la politique sécuritaire dans l'impasse,"«L’armée et la sécurité sont la véritable religion de ce pays», s’inquiète Gideon Levy, journaliste du Haaretz. Pour l’État d’Israël, la question du «vivre en sécurité» tourne, en effet, à l’obsession. Telle une «villa dans la jungle» ─ expression d’Ehoud Barak ─, il a développé une vraie culture de la forteresse assiégée. Pour se protéger, Israël se replie, s’enferme, mise sur sa force militaire, se lance dans des guerres préventives au nom de la «légitime défense», colonise les terres «incertaines» à ses frontières... À Jérusalem-Est, «judaïser» des quartiers devient ainsi synonyme de sécurisation. Mais cette politique pose question puisqu’elle s’avère incompatible avec l’existence et les droits des Palestiniens... On ne peut comprendre ce complexe sécuritaire sans se replonger dans l’Histoire de cette «nation» atypique. Le syndrome d’Amalek, ─ référence à une attaque contre le peuple juif à l’époque de Moïse ─, est souvent avancé comme le mythe fondateur du «bellicisme» israélien. Après un détour par l’époque biblique, l’auteur revisite surtout des pages d’Histoire récentes: la profonde blessure laissée par la guerre du Kippour (1973), le traumatisme des premiers attentats-suicide dans les années 1990, les échecs des interventions au Liban (2006) et dans la bande de Gaza (comme à l’été 2014), les cyber-attaques contre l’Iran, l’incidence des Printemps arabes... Ce tableau ne saurait toutefois être complet sans une analyse de la situation sociale interne ─ incontestable bombe à retardement ─ et de la radicalisation de l’opinion publique israélienne. Autant d’éclairages essentiels qui permettent de mieux appréhender la politique complexe de ce pays, tiraillé de toutes parts.","606$3027683842$aSécurité nationale$3028635264$xAspect militaire$3027262111$aIsraël
606$302740837X$aPolitique militaire$3027262111$aIsraël
606$3027728110$aPolitique et gouvernement$3027262111$yIsraël$302726470X$zHistoire",Sécurité nationale -- Aspect militaire -- Israël;;Politique militaire -- Israël;;Politique et gouvernement -- Israël -- Histoire,"606 $3027683842$aSécurité nationale$3143889427$xIsolationnisme$3027262111$yIsraël
606 $3028693981$aConflit israélo-arabe$3145035387$xMurs de séparation$3144655063$xRepli sur soi$3027262111$yIsraël",Sécurité nationale -- Isolationnisme -- Israël;;Conflit israélo-arabe -- Murs de séparation -- Repli sur soi -- Israël,"
606$3137662084$aSécurité des frontières$3027262111$yIsraël$302726470X$zHistoire
606$3029262755$aCaractère national israélien$302726470X$zHistoire 
606$3028693981$aConflit israélo-arabe ",Sécurité des frontières -- Israël -- Histoire;;Caractère national israélien -- Histoire ;;Conflit israélo-arabe,"606$302740837X$aPolitique militaire$302726470X$xHistoire$3027262111$yIsraël
606$3027683842$aSécurité nationale$302726470X$xHistoire$3027262111$yIsraël
606$3028693981$aConflit israélo-arabe",Politique militaire -- Histoire -- Israël;;Sécurité nationale -- Histoire -- Israël;;Conflit israélo-arabe,"606$3027804747$aMilitarisme$3027262111$yIsraël
606$3191102660$aSécurisation (relations internationales)$3027262111$yIsraël
606$3196633230$aPropagande israélienne",Militarisme -- Israël;;Sécurisation (relations internationales) -- Israël;;Propagande israélienne,"606$3027683842$aSécurité nationale$3027262111$yIsraël
606$3262125986$aMilitarisation$3027262111$yIsraël
606$3028693981$aConflit israélo-arabe",Sécurité nationale --Israël;;Militarisation -- Israël;;Conflit israélo-arabe,"['Sionisme', 'Conflit israélo-arabe', 'Relations Juifs-Arabes', 'Judaïsme et politique', 'Question juive', 'Judaïsme']","['Sionisme', 'Conflit israélo-arabe', 'Relations Juifs-Arabes', 'Judaïsme et politique', 'Question juive', 'Judaïsme']"
27,23,182508188,Géants des profondeurs,"Présentation du calmar géant, des mythes et légendes qui l'entourent, de son anatomie, sa vie dans les grands fonds, sa répartition géographique, etc.","606$3050523171$aCalmars géants$3027243753$xComportement animal
606$3050523171$aCalmars géants$3027240452$xMythes",Calmars géants -- Comportement animal;;Calmars géants -- Mythes,"606 $3050523171$aCalmars géants$3027505995$xAnatomie
606 $3033785325$aAnimaux des abysses$3027236463$xLégendes
",Calmars géants -- Anatomie;;Animaux des abysses -- Légendes,"606$3050523171$aCalmars géants$3027240479$xMythologie 
606$3050523171$aCalmars géants$3027236463$xLégendes
606$3050523147$aArchiteutidae$3027256421$xZoologie",Calmars géants -- Mythologie ;;Calmars géants -- Légendes;;Architeutidae -- Zoologie,"606$3031727174$aCalmars$3027226115$xFolklore
606$3034773592$aPoissons abyssaux
606$3027222306$aCéphalopodes$3028654781$xHabitat",Calmars -- Folklore;;Poissons abyssaux;;Céphalopodes -- Habitat,"606$3031727174$aCalmars$3027236463$xLégendes
606$3031727174$aCalmars$3028654781$xHabitat
606$3033614261$aDécapodes (mollusques)",Calmars -- Légendes;;Calmars -- Habitat;;Décapodes (mollusques),"606‎$3050523171$aCalmars géants‎$3027256421$xZoologie
606‎$3050523171$aCalmars géants‎$3027240479$xMythologie
",Calmars géants -- Zoologie;;Calmars géants -- Mythologie,"['Art pariétal', 'Art préhistorique', 'Mythologie', 'Mythologie grecque -- Ouvrages illustrés', 'Mythologie romaine', 'Gravure']","['Art pariétal', 'Art préhistorique', 'Mythologie', 'Mythologie grecque', 'Ouvrages illustrés', 'Mythologie romaine', 'Gravure']"
28,4,183201523,"L'habitat du Néolithique ancien de Colombelles : Le Lazarro, Calvados","Depuis les années 1970, la composante orientale, en particulier celle de la céramique Linéaire, dans l origine du premier Néolithique normand n a cessé d être confortée. L intrigante découverte de la fameuse céramique de la Hoguette à Fontenay-le-Marmion (Calvados) constituait un premier signal. Plus récemment, les découvertes successives ont confirmé l existence de nombreux sites d habitat de la culture de Blicquy/Villeneuve-Saint-Germain.   La fouille du site de Colombelles montre aujourd hui que l Ouest du Bassin parisien  s inscrit bien dans la sphère de la colonisation rubanée à la fin du VIe  millénaire av. J.-C. Avec une dizaine d unités d habitation alignées sur une même rangée orientée nord-sud, ce village offre tous les signes d une transmission rigoureuse des normes culturelles rubanées, tant dans ses dimensions matérielles qu économiques ou   sociales. Seul l attrait pour de nouvelles ressources minérales, telles que l hématite oolithique ordovicienne, les silex jurassiques ou les schistes, distingue Colombelles des sites plus continentaux.  La situation isolée de ce site vers l ouest n est pas sans soulever des questions quant au rythme de l expansion rubanée à partir des zones colonisées antérieurement, cette progression étant difficilement compatible avec une colonisation agricole lente. La fin de la céramique Linéaire semble donc s accompagner d une avancée rapide des groupes villageois ; elle apparaît également comme une phase d ouverture  vers la sphère méridionale, comme en témoigne, à Colombelles, la présence de parures fabriquées dans des matériaux provenant des régions méditerranéennes.   L analyse spatiale tente ici de pallier le manque de données sur l architecture de la maison rubanée. Avec ses structures délicates à percevoir en milieu limoneux, la fouille pose également, plus globalement, la question de la détection de ce type d habitat, en particulier dans les zones de plateau.","606$3029088011$aCulture à céramique linéaire
606$302751840X$aHabitat préhistorique$3035569867$xNéolithique ancien$3092364748$yColombelles (Calvados)
606$3027264874$aFouilles archéologiques$3092364748$yColombelles (Calvados)",Culture à céramique linéaire;;Habitat préhistorique -- Néolithique ancien -- Colombelles (Calvados);;Fouilles archéologiques -- Colombelles (Calvados),"606 $302751840X$xHabitat préhistorique$3029088011$xCulture à céramique linéaire$3184658896$yLe Lazzaro (Calvados ; site archéologique)
606 $3027313948$aRoches sédimentaires$3027476510$xNéolithique$3184658896$yLe Lazzaro (Calvados ; site archéologique)",Habitat préhistorique -- Culture à céramique linéaire -- Le Lazzaro (Calvados ; site archéologique);;Roches sédimentaires -- Néolithique --  Le Lazzaro (Calvados ; site archéologique),"606$3029088011$aCulture à céramique linéaire
606$3029647932$aÉtablissements humains préhistoriques
606$3027264874$aFouilles archéologiques$3184658896$yLe Lazzaro (Calvados ; site archéologique)",Culture à céramique linéaire;;Établissements humains préhistoriques;;Fouilles archéologiques -- Le Lazzaro (Calvados ; site archéologique),"606$3027323226$aVillages$3027533700$yCalvados (France)
606$3027476510$aNéolithique$3027533700$yCalvados (France)
606$3027782212$aSites archéologiques$3027533700$yCalvados (France)",Villages -- Calvados (France);;Néolithique -- Calvados (France);;Sites archéologiques -- Calvados (France),"606$3027476510$aNéolithique$3027226794$yFrance
606$302751840X$aHabitat préhistorique$3027226794$yFrance
606$3027259463$aArchéologie préhistorique$3027226794$yFrance",Néolithique -- France;;Habitat préhistorique -- France;;Archéologie préhistorique -- France,"$3028654781$aHabitat$3184658896$yLe Lazzaro (Calvados ; site archéologique)$3035569867$zNéolitihiqe ancien
$3029088011$aCulture à céramique linéaire$3184658896$yLe Lazzaro (Calvados ; site archéologique)$3035569867$zNéolitihiqe ancien",Habitat -- Le Lazzaro  (Calvados ; site archéologique) -- Néolithique ancien;;Culture à céramique linéaire -- Le Lazzaro  (Calvados ; site archéologique) -- Néolithique ancien,"['Fouilles de sauvetage (archéologie)', 'Antiquités préhistoriques', 'Sites naturels', 'Antiquités médiévales', 'Histoire locale', 'Néolithique']","['Fouilles de sauvetage (archéologie)', 'Antiquités préhistoriques', 'Sites naturels', 'Antiquités médiévales', 'Histoire locale', 'Néolithique']"
